date,rows,positive_rows,alert_rows,positive_alert_rows,roc_auc,pr_auc
2026-03-11,67638,23,676,14,0.9135415025608544,0.1305739549476294
2026-03-12,67618,12,676,7,0.9586581319212298,0.18432002065111744
2026-03-13,67557,9,675,7,0.9693370311153221,0.12484360320426888
2026-03-14,67592,9,675,7,0.8980496410175471,0.07382118082122949
2026-03-15,67574,11,675,7,0.8577744946467473,0.04761400124179292
2026-03-16,67677,11,676,8,0.8694086999513655,0.045663586565923765
2026-03-17,67710,12,677,7,0.8266381577003752,0.04268304493154398
2026-03-18,67669,14,676,8,0.8390178109526273,0.05969965804520508
2026-03-19,67691,17,676,10,0.8295778724647054,0.0597625959310096
2026-03-20,67798,17,677,8,0.7705621131030125,0.024345985122466673
2026-03-21,67741,15,677,7,0.7532434613983798,0.021560228530066703
2026-03-22,67725,14,677,7,0.8025431613770287,0.026338042163024815
2026-03-23,67602,17,676,7,0.8259790503461872,0.04026466097002932
2026-03-24,67691,18,676,8,0.8901092180206451,0.022596646257594936
