feature,feature_value,shap_value,abs_shap
smart_197_raw_delta_7d,40.0,0.10820043371272357,0.10820043371272357
smart_197_raw_delta_1d,8.0,0.08307255809410523,0.08307255809410523
smart_197_raw,144.0,0.08112740349992373,0.08112740349992373
smart_197_raw_max_7d,144.0,0.0643956742408251,0.0643956742408251
smart_197_raw_mean_7d,122.28571428571429,0.05504066980227689,0.05504066980227689
smart_198_raw,144.0,0.05219065003639927,0.05219065003639927
smart_198_raw_max_7d,144.0,0.0484130596440068,0.0484130596440068
smart_198_raw_delta_7d,40.0,0.03818480103273871,0.03818480103273871
smart_198_raw_mean_7d,122.28571428571429,0.035174944921981637,0.035174944921981637
smart_1_raw_mean_7d,117147977.14285715,0.028184076780429612,0.028184076780429612
smart_5_raw,7424.0,0.023398781867124595,0.023398781867124595
smart_198_raw_delta_1d,8.0,0.020621169966238938,0.020621169966238938
smart_5_raw_max_7d,7424.0,0.019773700106618188,0.019773700106618188
smart_1_raw_max_7d,240765288.0,0.019130692480008087,0.019130692480008087
smart_1_raw,175779880.0,0.013564342268041868,0.013564342268041868
smart_5_raw_mean_7d,7424.0,0.011332632361005762,0.011332632361005762
smart_5_raw_delta_7d,0.0,-0.009574548862771117,0.009574548862771117
smart_194_raw_mean_7d,33.714285714285715,-0.007060201320850321,0.007060201320850321
smart_7_raw_delta_7d,42187260.0,-0.005142258300504799,0.005142258300504799
smart_5_raw_delta_1d,0.0,-0.004757424233191797,0.004757424233191797
smart_9_raw,52936.0,0.004022524124498978,0.004022524124498978
smart_194_raw,33.0,-0.0037742301853477093,0.0037742301853477093
smart_9_raw_delta_7d,171.0,-0.0032436366925494473,0.0032436366925494473
smart_9_raw_mean_7d,52865.142857142855,0.0031685798318476063,0.0031685798318476063
smart_1_raw_delta_7d,11945320.0,0.0030262091238429907,0.0030262091238429907
smart_9_raw_max_7d,52936.0,0.0026345539699685542,0.0026345539699685542
smart_194_raw_max_7d,35.0,-0.002575330057471642,0.002575330057471642
smart_7_raw_max_7d,695041180.0,-0.0025683947723158934,0.0025683947723158934
smart_1_raw_delta_1d,-39631000.0,-0.000980244072109293,0.000980244072109293
smart_9_raw_delta_1d,15.0,0.0009187999863447244,0.0009187999863447244
smart_7_raw_mean_7d,675949954.5714285,-0.0008157953883643467,0.0008157953883643467
smart_7_raw,695041180.0,-0.0004915603799087586,0.0004915603799087586
smart_199_raw_delta_7d,0.0,-0.0003609666134891338,0.0003609666134891338
smart_194_raw_delta_1d,0.0,0.00032226710886171874,0.00032226710886171874
smart_7_raw_delta_1d,1682172.0,0.00018531247789294958,0.00018531247789294958
smart_199_raw,0.0,-0.00016786684544361949,0.00016786684544361949
smart_199_raw_mean_7d,0.0,-6.331247726617227e-05,6.331247726617227e-05
smart_194_raw_delta_7d,0.0,-4.329526377039693e-05,4.329526377039693e-05
smart_199_raw_max_7d,0.0,-3.873612790164162e-05,3.873612790164162e-05
has_7d_history,1.0,2.2902113613904612e-05,2.2902113613904612e-05
has_1d_history,1.0,1.0248540726398154e-05,1.0248540726398154e-05
smart_199_raw_delta_1d,0.0,1.020555560375537e-05,1.020555560375537e-05
