feature,importance
smart_197_raw,0.06864667893074752
smart_197_raw_max_7d,0.06399205305936391
smart_197_raw_mean_7d,0.055683780713051516
smart_9_raw,0.052264241966276624
smart_9_raw_max_7d,0.05205824878876092
smart_9_raw_mean_7d,0.05101953767150648
smart_5_raw_delta_7d,0.04660160349324561
smart_5_raw,0.04367828926199282
smart_5_raw_max_7d,0.04257346702314865
smart_5_raw_mean_7d,0.04058535939673014
smart_194_raw_mean_7d,0.0389304948341777
smart_198_raw,0.03833326305891026
smart_198_raw_max_7d,0.037681616525855395
smart_198_raw_mean_7d,0.035626345249668706
smart_197_raw_delta_7d,0.032301412917370306
smart_1_raw_mean_7d,0.029374599972941878
smart_194_raw_max_7d,0.026030707609730468
smart_1_raw_max_7d,0.025480727757037934
smart_5_raw_delta_1d,0.020366018075694294
smart_194_raw,0.019957184137088628
smart_9_raw_delta_7d,0.018509288961833455
smart_7_raw,0.017995492453840644
smart_7_raw_mean_7d,0.017575389070141677
smart_1_raw,0.01746004177959019
smart_7_raw_max_7d,0.017193154813132078
smart_197_raw_delta_1d,0.015281128579178434
smart_198_raw_delta_7d,0.012540585141807056
smart_7_raw_delta_7d,0.010880408045079722
smart_1_raw_delta_7d,0.009298929025957492
smart_1_raw_delta_1d,0.009290951472025782
smart_194_raw_delta_7d,0.008265203500886794
smart_9_raw_delta_1d,0.007150830908665308
smart_7_raw_delta_1d,0.007020353945238295
smart_194_raw_delta_1d,0.003924325671987472
smart_198_raw_delta_1d,0.0022745870014577183
has_7d_history,0.0012030108660979534
smart_199_raw_delta_7d,0.0011990089642148433
smart_199_raw_mean_7d,0.0005652628822954457
smart_199_raw,0.0004517737476332065
smart_199_raw_max_7d,0.0004516261797505482
smart_199_raw_delta_1d,0.00015844660034597537
has_1d_history,0.00012456994554019217
