feature,mean_abs_shap
smart_9_raw_max_7d,0.0032368514444340362
smart_5_raw_max_7d,0.002618209128201579
smart_5_raw,0.0025554374971257514
smart_197_raw,0.002412074512133925
smart_194_raw_mean_7d,0.0023125661333704
smart_9_raw_mean_7d,0.002170495186675978
smart_9_raw,0.0021399498102675357
smart_197_raw_max_7d,0.0021342913423397936
smart_5_raw_delta_7d,0.0017692558376944422
smart_197_raw_mean_7d,0.0017208368130611756
smart_194_raw_max_7d,0.0014843911613061154
smart_9_raw_delta_7d,0.0014743300645978523
smart_198_raw,0.0014021249930992305
smart_198_raw_max_7d,0.0013533033054676845
smart_1_raw_mean_7d,0.0013027007063406595
smart_5_raw_mean_7d,0.0012274754722364366
smart_197_raw_delta_7d,0.0010874069549615952
smart_194_raw,0.0010670930823294532
smart_1_raw,0.0010195596539663134
smart_7_raw_delta_1d,0.0009370933316983983
smart_198_raw_mean_7d,0.0008972088584985335
smart_7_raw,0.0008488161692653567
smart_1_raw_max_7d,0.0008137772432986017
smart_7_raw_max_7d,0.0007302998559802869
smart_7_raw_mean_7d,0.0006878978132161828
smart_198_raw_delta_7d,0.000605371287526328
smart_1_raw_delta_1d,0.0005487593628591505
smart_5_raw_delta_1d,0.0004995378002864428
smart_194_raw_delta_7d,0.00048193268114075433
smart_7_raw_delta_7d,0.0004517826680230141
smart_197_raw_delta_1d,0.0003902535349539998
smart_1_raw_delta_7d,0.0003894010522536552
smart_9_raw_delta_1d,0.0003569950168216183
smart_194_raw_delta_1d,0.0003084285944775888
has_7d_history,7.927444494712758e-05
smart_199_raw_delta_7d,7.15538310456273e-05
smart_198_raw_delta_1d,7.124745173605594e-05
smart_199_raw_mean_7d,1.6763727033454258e-05
smart_199_raw,1.398150512509522e-05
smart_199_raw_max_7d,1.324378795778062e-05
smart_199_raw_delta_1d,1.0486468936955343e-05
has_1d_history,9.730201600675781e-06
