feature,mean_abs_shap
smart_9_raw_mean_7d,0.6318100853373257
smart_194_raw_mean_7d,0.30633175394262263
smart_9_raw,0.2814487772422322
smart_194_raw_max_7d,0.17628770056299076
smart_7_raw_max_7d,0.15532351046415016
smart_5_raw,0.15483677773815863
smart_7_raw_delta_7d,0.1318342975436202
smart_197_raw,0.1303617312232821
smart_9_raw_max_7d,0.12695954643840685
smart_9_raw_delta_7d,0.12261340676741751
smart_1_raw_max_7d,0.09858274771206302
smart_7_raw_delta_1d,0.09821372470726428
smart_7_raw_mean_7d,0.06176704903890189
smart_9_raw_delta_1d,0.05841246355193524
smart_7_raw,0.050935525389055804
smart_1_raw_mean_7d,0.04535255741984928
smart_5_raw_delta_7d,0.04156492144508172
smart_5_raw_mean_7d,0.040798399541698525
smart_194_raw_delta_1d,0.03761421247089154
smart_194_raw_delta_7d,0.03398651088454537
smart_194_raw,0.031311055150852175
smart_1_raw,0.030128377977203375
smart_1_raw_delta_1d,0.02949329477295506
smart_199_raw,0.020005554726522917
smart_198_raw,0.019759465826815
smart_5_raw_max_7d,0.01775736313252877
smart_1_raw_delta_7d,0.013031518997801623
smart_197_raw_mean_7d,0.009935470686106328
smart_197_raw_delta_7d,0.00990866981326929
smart_198_raw_mean_7d,0.008638583090383739
smart_198_raw_delta_7d,0.007440453259787791
smart_197_raw_max_7d,0.00568713717581216
smart_197_raw_delta_1d,0.004970191747165416
smart_5_raw_delta_1d,0.0029751876510019427
smart_198_raw_max_7d,0.002842307591290993
has_7d_history,0.0024952587735337993
smart_199_raw_mean_7d,0.0014683761005335443
smart_199_raw_max_7d,0.00043044201860546554
smart_198_raw_delta_1d,0.0002146513903440467
smart_199_raw_delta_1d,0.00018765735262116494
smart_199_raw_delta_7d,0.0
has_1d_history,0.0
